Quantity,Value,Footprint,LCSC Part #,Used on
4,1u,0603,C15849,"Input hub C1 C3; mouse pointer C8 C9"
2,10uF,0805,C15850,"Input hub C2; mouse pointer C6"
1,1206L012WR,1206,C151160,"Input hub F1"
1,B2B-PH-SM4-TB,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C160352,"Input hub J11"
1,BM04B-SRSS-TB_LF__SN_,JST_BM04B-SRSS-TB_LF__SN_,C160390,"Input hub J5"
2,330,0603,C23138,"Input hub R1 R2"
3,47R,0603,C23182,"Input hub R3 R4 R5"
2,100,0603,C22775,"Input hub R6; mouse pointer R3"
4,10k,0603,C25804,"Input hub R7 R8 R9; mouse pointer R1"
4,TPD4E05U06DQAR,IC_TPD4E05U06DQAR,C138714,"Input hub U2 U3; mouse pointer U3 U4"
1,3.3uF/16V,0805,C7393948,"Mouse pointer C1"
3,100nF,0603,C14663,"Mouse pointer C2 C3 C4"
2,10nF,0603,C57112,"Mouse pointer C5 C7"
2,0R,0603,C21189,"Mouse pointer JP1 JP3"
1,PMW3610,PMW3610DM-SUDU 16Pin,C42442560,"Mouse pointer U1"
1,TLV74318PDBVR,SOT-23-5_HandSoldering,C485152,"Mouse pointer U2"
