Designator,Mid X,Mid Y,Rotation,Layer
C1,109.375,-86.0,180.0,top
C2,180.6,-79.95,180.0,top
C3,126.425,-85.9,180.0,top
F1,181.05,-77.8,180.0,top
J11,156.0,-86.2,180.0,top
J5,166.34,-88.65,180.0,top
JP1,117.5,-86.05,0.0,top
JP2,129.55,-85.9,0.0,top
R1,106.325,-86.0,180.0,top
R2,123.325,-85.9,180.0,top
R3,167.6,-76.81,90.0,top
R4,169.1,-76.81,90.0,top
R5,170.6,-76.81,90.0,top
R6,177.65,-79.5,270.0,top
R7,178.475,-81.8,180.0,top
R8,167.6,-79.85,90.0,top
R9,169.25,-80.5,90.0,top
U2,177.008,-75.3,180.0,top
U3,173.062,-75.3,180.0,top
