Designator,Mid X,Mid Y,Rotation,Layer
C1,21.209,-16.0,90.0,top
C2,19.25,-16.0,90.0,top
C3,4.2,-21.575,270.0,top
C4,19.25,-19.75,90.0,top
C5,6.2,-8.0,90.0,top
C6,21.209,-23.561,90.0,top
C7,19.25,-23.75,90.0,top
C8,16.2,-7.1,270.0,top
C9,8.65,-7.4,180.0,top
H1,3.0,-28.5,0.0,bottom
H2,3.0,-3.0,0.0,bottom
H3,20.5,-3.0,0.0,top
H4,20.5,-28.5,0.0,bottom
H5,24.5,14.0,0.0,top
H6,-1.0,14.0,0.0,top
J1,1.651,-15.5,0.0,top
J3,11.7375,7.53,180.0,top
JP1,14.9,-4.6,180.0,top
JP3,6.7,-2.9,90.0,top
R1,11.0,-29.225,270.0,top
R3,8.4,-28.5,0.0,top
TP1,22.1,-7.0,0.0,top
TP2,22.1,-9.7,0.0,top
TP3,22.1,-12.4,0.0,top
U1,11.75,-19.245,90.0,top
U2,12.8,-7.2,0.0,top
U3,9.1,-0.6,270.0,top
U4,15.2,-0.6,270.0,top
